"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 29 14:37:03 CST 2020","Fri May 29 14:37:19 CST 2020","15861","","testrun","TestClass","","","test_run[case7]",""
"passed","Fri May 29 14:35:21 CST 2020","Fri May 29 14:35:33 CST 2020","11920","","testrun","TestClass","","","test_run[case2]",""
"passed","Fri May 29 14:35:13 CST 2020","Fri May 29 14:35:21 CST 2020","8100","","testrun","TestClass","","","test_run[case1]",""
"passed","Fri May 29 14:36:43 CST 2020","Fri May 29 14:37:03 CST 2020","19954","","testrun","TestClass","","","test_run[case6]",""
"passed","Fri May 29 14:36:23 CST 2020","Fri May 29 14:36:43 CST 2020","19972","","testrun","TestClass","","","test_run[case5]",""
"passed","Fri May 29 14:35:48 CST 2020","Fri May 29 14:36:23 CST 2020","35261","","testrun","TestClass","","","test_run[case4]",""
"passed","Fri May 29 14:35:12 CST 2020","Fri May 29 14:35:13 CST 2020","706","","testrun","TestClass","","","test_run[case0]",""
"passed","Fri May 29 14:35:33 CST 2020","Fri May 29 14:35:48 CST 2020","14521","","testrun","TestClass","","","test_run[case3]",""
"passed","Fri May 29 14:37:19 CST 2020","Fri May 29 14:37:34 CST 2020","15022","","testrun","TestClass","","","test_run[case8]",""
